# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 92, 2026061800, 03, FNV3, 228, 353N, 1330E,  42,  987, XX,  34, NEQ,   52,   56,   38,   38,     ,     ,  53,
WP, 92, 2026061800, 03, FNV3, 228, 353N, 1330E,  42,  987, XX,  50, NEQ,   11,   11,    9,    9,     ,     ,  53,
WP, 92, 2026061800, 03, FNV3, 228, 353N, 1330E,  42,  987, XX,  64, NEQ,    5,    4,    3,    3,     ,     ,  53,
WP, 92, 2026061800, 03, FNV3, 234, 362N, 1345E,  42,  987, XX,  34, NEQ,   45,   50,   27,   27,     ,     ,  54,
WP, 92, 2026061800, 03, FNV3, 234, 362N, 1345E,  42,  987, XX,  50, NEQ,   13,   12,   10,   10,     ,     ,  54,
WP, 92, 2026061800, 03, FNV3, 234, 362N, 1345E,  42,  987, XX,  64, NEQ,    7,    6,    5,    5,     ,     ,  54,
WP, 92, 2026061800, 03, FNV3, 240, 363N, 1344E,  41,  987, XX,  34, NEQ,   57,   45,   33,   35,     ,     ,  52,
WP, 92, 2026061800, 03, FNV3, 240, 363N, 1344E,  41,  987, XX,  50, NEQ,   11,   11,    7,    8,     ,     ,  52,
WP, 92, 2026061800, 03, FNV3, 240, 363N, 1344E,  41,  987, XX,  64, NEQ,    4,    1,    1,    1,     ,     ,  52,
WP, 92, 2026061800, 03, FNV3, 246, 360N, 1328E,  42,  986, XX,  34, NEQ,   57,   56,   40,   38,     ,     ,  42,
WP, 92, 2026061800, 03, FNV3, 246, 360N, 1328E,  42,  986, XX,  50, NEQ,   13,   14,    9,    9,     ,     ,  42,
WP, 92, 2026061800, 03, FNV3, 246, 360N, 1328E,  42,  986, XX,  64, NEQ,    2,    4,    2,    2,     ,     ,  42,
