# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 04, 2025102306, 03, FNV3,  12,  99S,  579E,  38,  999, XX,  34, NEQ,   49,   52,   43,   49,     ,     ,  47,
IO, 04, 2025102306, 03, FNV3,  18,  94S,  569E,  38,  999, XX,  34, NEQ,   37,   35,   30,   40,     ,     ,  41,
IO, 04, 2025102306, 03, FNV3,  24,  89S,  560E,  34, 1000, XX,  34, NEQ,   25,   22,   21,   21,     ,     ,  44,
IO, 04, 2025102306, 03, FNV3,  24,  89S,  560E,  34, 1000, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  44,
IO, 04, 2025102306, 03, FNV3,  30,  86S,  551E,  33, 1001, XX,  34, NEQ,   14,   15,   15,   13,     ,     ,  47,
IO, 04, 2025102306, 03, FNV3,  30,  86S,  551E,  33, 1001, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  47,
IO, 04, 2025102306, 03, FNV3,  36,  83S,  544E,  34, 1001, XX,  34, NEQ,   23,   19,   17,   25,     ,     ,  50,
IO, 04, 2025102306, 03, FNV3,  42,  79S,  536E,  36, 1000, XX,  34, NEQ,   29,   27,   25,   25,     ,     ,  44,
IO, 04, 2025102306, 03, FNV3,  42,  79S,  536E,  36, 1000, XX,  50, NEQ,    1,    0,    0,    2,     ,     ,  44,
IO, 04, 2025102306, 03, FNV3,  48,  78S,  526E,  35, 1000, XX,  34, NEQ,   37,   37,   31,   32,     ,     ,  45,
IO, 04, 2025102306, 03, FNV3,  48,  78S,  526E,  35, 1000, XX,  50, NEQ,    0,    0,    2,    1,     ,     ,  45,
IO, 04, 2025102306, 03, FNV3,  54,  77S,  520E,  34, 1001, XX,  34, NEQ,   16,   17,   10,   10,     ,     ,  48,
IO, 04, 2025102306, 03, FNV3,  54,  77S,  520E,  34, 1001, XX,  50, NEQ,    1,    0,    3,    0,     ,     ,  48,
IO, 04, 2025102306, 03, FNV3,  60,  75S,  514E,  29, 1002, XX,  34, NEQ,    0,    6,    0,    5,     ,     ,  52,
